,name,salary,addr,time,limit,company,type,vip,page
197,ios开发工程师,15k-25k,福田区,2018-07-11 09:57:03,本科、3-5年,滴滴优点科技（深圳）有限公司,A轮、移动互联网,"五险一金,绩效奖金,带薪年假,发展前景广",19
198,iOS（蓝牙）,15k-25k,南山区,2018-07-11 09:55:42,本科、3-5年,深圳欧德蒙科技有限公司,"A轮、移动互联网,企业服务","福利好,待遇优,氛围宽松,独当一面",19
199,IOS开发工程师,8k-12k,南山区,2018-07-11 09:54:07,大专、1-3年,深圳市安服优智能互联科技有限公司,"天使轮、移动互联网,硬件","IOS,年底三薪",19
200,IOS开发工程师,9k-18k,南山区,2018-07-11 09:38:19,本科、1-3年,深圳市名通科技股份有限公司,不需要融资、移动互联网,"五天制,季度调薪,年终多薪,平台稳定",19
201,iOS开发,8k-15k,南山区,2018-07-11 09:35:19,大专、1-3年,深圳市艾特软件有限公司,"未融资、电子商务,企业服务","iOS,开发",19
202,iOS开发工程师（金融APP）,15k-25k,南山区,2018-07-11 09:33:50,本科、3-5年,深圳市和讯华谷信息技术有限公司,"D轮及以上、移动互联网,数据服务","D轮+,攻城狮氛围,14薪+,弹性工作",19
203,高级iOS开发工程师,15k-25k,南山区,2018-07-11 09:33:15,本科、5-10年,深圳市环球易购电子商务有限公司,上市公司、电子商务,上市公司，大平台，绩效奖金，员工激励计划,19
204,web前端/ios/android开发工程师,15k-30k,南山区,2018-07-11 09:28:20,本科、3-5年,深圳柔美品牌运营管理有限公司,不需要融资、电子商务,团队优秀,19
205,高级iOS工程师,15k-30k,福田区,2018-07-11 09:26:25,本科、5-10年,深圳前海达飞金融服务有限公司,D轮及以上、金融,"同事Nic,福利好,有鼓励师",19
206,ios sdk开发工程师,15k-30k,南山区,2018-07-11 08:59:43,本科、3-5年,深圳市快传技术有限公司,"未融资、社交网络,移动互联网",一流的流媒体服务平台+一流的人才,19
207,iOS开发,10k-16k,南山区,2018-07-11 08:59:03,大专、1-3年,深圳市博悦科创科技有限公司,不需要融资、移动互联网,"五险一金,双休,年终奖,年度旅游",19
208,IOS开发工程师,12k-15k,南山区,2018-07-11 07:26:45,本科、1-3年,深圳市凡乐时代网络技术有限公司,"不需要融资、电子商务,游戏","节假日福利,五险一金,员工旅游,定期体检",19
209,IOS工程师,10k-20k,福田区,2018-07-10 18:57:45,大专、3-5年,上海海万信息科技股份有限公司,"不需要融资、移动互联网,金融","大平台,新技术,高福利",19
210,iOS工程师,15k-30k,南山区,2018-07-11 10:20:29,本科、3-5年,深圳无觅科技有限公司,"B轮、移动互联网,金融","快速成长,待遇丰厚,团队优秀",20
211,IOS开发实习生,2k-4k,南山区,2018-07-11 09:54:07,本科、应届毕业生,深圳市安服优智能互联科技有限公司,"天使轮、移动互联网,硬件","IOS,实习生",20
212,IOS开发工程师,10k-20k,南山区,2018-07-11 09:38:18,本科、不限,深圳市名通科技股份有限公司,不需要融资、移动互联网,"平台稳,薪资高,福利好,氛围好",20
213,iOS开发工程师（IM业务）,15k-25k,南山区,2018-07-11 09:33:50,本科、3-5年,深圳市和讯华谷信息技术有限公司,"D轮及以上、移动互联网,数据服务","14薪+,D轮+,弹性工作制,下午茶",20
214,iOS开发实习生,4k-8k,南山区,2018-07-10 18:37:21,本科、不限,北京市商汤科技开发有限公司,B轮、移动互联网,"人工智能,独角兽企业,技术大牛多,工作氛围好",20
215,iOS高级开发工程师,20k-25k,南山区,2018-07-10 18:03:29,本科、3-5年,珠海云迈网络科技有限公司,A轮、移动互联网,季度奖+年终奖+期权+无限发展空间,20
216,iOS开发工程师,10k-15k,南山区,2018-07-10 17:51:52,大专、1-3年,伊时代（深圳）科技有限公司,天使轮、医疗健康,"扁平管理,带薪年假,周末双休",20
217,iOS开发工程师（信贷）,10k-20k,南山区,2018-07-10 17:40:42,本科、3-5年,深圳市随手科技有限公司,"C轮、移动互联网,金融","六险一金,弹性时间,空间大,氛围好",20
218,IOS开发工程师,15K-25K,宝安区,2018-07-10 16:49:16,本科、3-5年,深圳市曼欧科技有限公司,天使轮、移动互联网,公司发展前景好,20
219,IOS,10K-15K,龙华新区,2018-07-10 16:43:02,大专、1-3年,深圳市世通领航科技有限公司,未融资、移动互联网,五险一金&nbsp;&nbsp;&nbsp;每月一次聚餐&nbsp;&nbsp;&nbsp;双休&nbsp;&nbsp;&nbsp;&nbsp;,20
220,技术合伙人（IOS/MAC）,10k-20k,龙岗区,2018-07-10 16:42:14,本科、3-5年,深圳市核子力量科技有限公司,不需要融资、移动互联网,"弹性工作制,五险一金,年终奖,股份/期权",20
221,IOS开发工程师,16k-21k,南山区,2018-07-10 16:02:16,本科、1-3年,深圳市海雀科技有限公司,A轮、移动互联网,"五险一金,绩效奖金,节日福利",20
222,IOS开发工程师,7k-14k,南山区,2018-07-10 16:00:49,大专、1-3年,深圳市品挚科技有限公司,"A轮、移动互联网,生活服务","创业公司,人性管理,下午茶,团队靠谱",20
223,IOS开发工程师,8K-15K,龙华新区,2018-07-10 16:00:29,大专、1-3年,深圳市致鑫钰科技有限公司,"不需要融资、移动互联网,电子商务","五险一金,年终奖金,定期旅游",20
224,iOS开发工程师,15k-25k,南山区,2018-07-10 15:28:45,本科、5-10年,广州指点教育科技有限公司,B轮、教育,"五险一金,双休,互联网项目,教育科技",20
225,iOS开发工程师,9k-15k,南山区,2018-07-10 18:03:29,大专、不限,珠海云迈网络科技有限公司,A轮、移动互联网,季度奖+年终奖+期权+无限发展空间,21
226,IOS开发工程师,8k-16k,龙岗区,2018-07-10 16:42:14,本科、1-3年,深圳市核子力量科技有限公司,不需要融资、移动互联网,"弹性工作制,五险一金,年终奖,股份/期权",21
227,IOS中级开发工程师,20k-35k,南山区,2018-07-10 14:45:14,本科、3-5年,招商证券股份有限公司,"上市公司、招聘,其他",金融科技,21
228,iOS开发实习生（面向2019届毕业生）,3k-5k,南山区,2018-07-10 14:41:49,本科、应届毕业生,深圳市随手科技有限公司,"C轮、移动互联网,金融","互联网金融,海量数据,晋升空间大,福利待遇好",21
229,IOS高级开发,10k-20k,福田区,2018-07-10 14:37:32,本科、3-5年,深圳乐易住智能科技股份有限公司,"A轮、O2O,生活服务","高福利,高成长,酒店自住",21
230,IOS开发工程师,10k-12k,南山区,2018-07-10 14:11:08,大专、3-5年,深圳市橙社网络技术有限公司,"A轮、O2O,生活服务","大牛团队,氛围轻松",21
231,Android/iOS开发工程师,10k-14k,南山区,2018-07-10 14:04:06,大专、3-5年,深圳市微付吧网络科技有限公司,未融资、金融 移动互联网,"苹果,安卓,区块链,java",21
